<xml><!--Date,Open,High,Low,Close,Volume,Adj Close
4/20/2011,132.88,133.39,132.79,133.1,156133800,127.52
4/19/2011,130.76,131.35,130.44,131.31,124258800,125.81
4/18/2011,130.59,132.03,129.51,130.56,210759300,125.09
4/15/2011,131.8,132.37,131.41,132.04,170006700,126.51
4/14/2011,130.7,131.76,130.27,131.56,161220400,126.05
4/13/2011,132.08,132.18,130.96,131.46,162059000,125.95
4/12/2011,131.72,131.98,130.99,131.47,161187400,125.96
4/11/2011,133,133.45,132.14,132.46,121385400,126.91
4/8/2011,133.91,133.99,132.31,132.86,147945400,127.29
4/7/2011,133.42,133.98,132.66,133.32,170731500,127.73
4/6/2011,133.88,134,133.12,133.66,120411600,128.06
4/5/2011,133,133.83,132.94,133.24,120966600,127.66
4/4/2011,133.43,133.67,132.88,133.26,100768900,127.68
4/1/2011,133.41,133.77,132.83,133.15,153850100,127.57
3/31/2011,132.6,132.96,132.45,132.59,132537100,127.04
3/30/2011,132.55,133.16,132.36,132.77,135835000,127.21
3/29/2011,130.87,131.9,130.44,131.86,129798800,126.34
3/28/2011,131.58,131.92,130.94,130.98,109762400,125.49
3/25/2011,131.24,131.87,130.89,131.3,155642800,125.8
3/24/2011,130.4,131.09,129.67,130.9,159129800,125.42
3/23/2011,128.93,130,128.32,129.66,148603100,124.23
3/22/2011,129.72,129.89,129.17,129.29,129538600,123.87
3/21/2011,129.35,130.01,129.2,129.74,153992600,124.3
3/18/2011,128.84,128.88,127.51,127.76,230435400,122.41
3/17/2011,128,128.39,127.1,127.85,254303700,121.96
3/16/2011,128.15,128.57,125.28,126.18,468670300,120.37
3/15/2011,126.59,129.33,126.5,128.56,359585400,122.64
3/14/2011,129.99,130.48,129.06,130.05,234974100,124.06
3/11/2011,129.52,131.31,129.49,130.84,225621800,124.82
3/10/2011,131,131.18,129.81,129.94,301291800,123.96
3/9/2011,132.32,132.8,131.6,132.39,153806000,126.29
3/8/2011,131.64,133,131.07,132.58,174615000,126.48
3/7/2011,132.86,133.16,130.74,131.43,216790400,125.38
3/4/2011,133.37,133.63,131.6,132.47,277202300,126.37
3/3/2011,132.4,133.62,132.39,133.47,176480100,127.33
3/2/2011,130.75,131.82,130.35,131.21,200277400,125.17
3/1/2011,133.57,133.69,130.89,130.93,258565500,124.9
2/28/2011,132.82,133.32,132.38,133.15,141585500,127.02
2/25/2011,131.48,132.41,131.4,132.33,141686900,126.24
2/24/2011,130.88,131.44,129.7,130.93,260431400,124.9
2/23/2011,131.75,132.07,130.21,131.02,227584000,124.99
2/22/2011,133.12,134.56,131.47,131.83,233116400,125.76
2/18/2011,134.37,134.69,134.06,134.53,130002400,128.34
2/17/2011,133.46,134.43,133.34,134.25,109810500,128.07
2/16/2011,133.46,134.01,133.19,133.85,130183500,127.69
2/15/2011,133.02,133.22,132.32,133.01,119575400,126.89
2/14/2011,133.03,133.54,132.88,133.43,101690700,127.29
2/11/2011,131.8,133.28,131.77,133.11,137710300,126.98
2/10/2011,131.6,132.47,131.3,132.32,162708500,126.23
2/9/2011,132.21,132.63,131.61,132.27,146436700,126.18
2/8/2011,132.09,132.64,131.73,132.57,99072800,126.47
2/7/2011,131.44,132.4,131.43,131.97,112439100,125.89
2/4/2011,130.83,131.2,130.23,131.15,134634800,125.11
2/3/2011,130.26,130.98,129.57,130.78,145886700,124.76
2/2/2011,130.4,130.84,130.33,130.49,118323600,124.48
2/1/2011,129.46,130.97,129.38,130.74,166962200,124.72
1/31/2011,128.07,128.78,127.75,128.68,149249200,122.76
1/28/2011,130.14,130.35,127.51,127.72,295637300,121.84
1/27/2011,129.7,130.21,129.47,129.99,123302700,124.01
1/26/2011,129.49,130.05,129.23,129.67,141281500,123.7
1/25/2011,128.76,129.28,128.11,129.17,167552200,123.22
1/24/2011,128.29,129.25,128.26,129.1,113715500,123.16
1/21/2011,128.88,129.17,128.23,128.37,151462900,122.46
1/20/2011,127.96,128.4,127.13,128.08,175745700,122.18
1/19/2011,129.41,129.54,127.91,128.25,151958400,122.35
1/18/2011,129.18,129.64,129.03,129.52,114401300,123.56
1/14/2011,128.19,129.33,128.1,129.3,117677900,123.35
1/13/2011,128.63,128.69,128.05,128.37,129048400,122.46
1/12/2011,128.21,128.72,127.46,128.58,107929200,122.66
1/11/2011,127.44,127.74,126.95,127.43,110287000,121.56
