Date,Open,High,Low,Close,Volume,Adj Close
2011-10-13,85.84,86.02,85.11,85.83,3361300,77.58
2011-10-12,84.77,86.28,84.42,86.19,4223000,77.91
2011-10-11,85.03,85.03,84.18,84.23,2278800,76.13
2011-10-10,84.38,85.18,83.87,85.17,2014300,76.98
2011-10-07,83.78,83.80,82.67,83.38,2686900,75.37
2011-10-06,82.29,83.32,81.90,83.31,2317200,75.30
2011-10-05,81.43,82.11,80.73,82.04,2563800,74.16
2011-10-04,80.61,81.18,77.90,81.05,4870500,73.26
2011-10-03,81.92,82.46,81.30,81.30,2560600,73.49
2011-09-30,83.98,83.98,82.73,82.83,2510700,74.38
2011-09-29,85.00,85.28,84.36,84.51,1643100,75.89
2011-09-28,85.58,85.60,84.51,84.67,2696800,76.04
2011-09-27,86.04,86.04,85.50,85.63,3481300,76.90
2011-09-26,85.39,86.38,85.01,85.53,2451400,76.81
2011-09-23,84.73,85.62,84.70,85.21,2251300,76.52
2011-09-22,85.17,85.52,84.78,84.98,2295700,76.31
2011-09-21,86.90,87.08,86.14,86.15,2524900,77.36
2011-09-20,86.92,87.08,86.57,86.90,1509100,78.04
2011-09-19,86.74,86.93,86.38,86.76,1251000,77.91
2011-09-16,87.15,87.15,86.60,86.89,1217200,78.03
2011-09-15,86.56,86.96,86.37,86.94,1534000,78.07
2011-09-14,86.07,86.56,85.66,86.36,1648300,77.55
2011-09-13,85.34,86.00,85.14,85.79,2331900,77.04
2011-09-12,85.31,85.46,84.81,85.14,2110000,76.46
2011-09-09,86.55,86.80,85.63,85.88,1978400,77.12
2011-09-08,86.56,86.85,86.39,86.66,1533100,77.82
2011-09-07,86.59,86.76,86.11,86.39,916900,77.58
2011-09-06,85.76,86.30,85.52,85.97,3004100,77.20
2011-09-02,86.57,87.56,86.57,87.00,1814600,78.13
2011-09-01,87.49,87.61,87.23,87.41,1624000,78.50
2011-08-31,87.79,88.38,87.57,88.03,3213700,78.55
2011-08-30,86.61,86.96,86.49,86.91,1774500,77.55
2011-08-29,86.47,86.85,86.18,86.75,2082100,77.41
2011-08-26,85.05,86.05,84.30,85.88,1629000,76.63
2011-08-25,86.22,86.46,85.00,85.02,1678800,75.86
2011-08-24,85.50,86.06,85.19,85.71,2550900,76.48
2011-08-23,85.28,86.24,84.70,86.10,2588800,76.83
